Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
Add_edge_CB,0.06836706,0.08946062,0.10637631,0.13848388
Remove_edge_CB,0.04495165,0.07382186,0.08879107,0.11782731
Reverse_edge_CB,0.07057672,0.11223845,0.15067604,0.21056764
Add_edge_S&S,0.18018628,0.28258944,0.42128877,0.43125511
Remove_edge_S&S,0.1693492,0.3186906,0.38912299,0.37364372
Reverse_edge_S&S,0.16269051,0.40149093,0.49278402,0.48073792
Add_edge_MMHC,0.34691345,0.48390826,0.65499314,0.79071469
Remove_edge_MMHC,0.19906668,0.29513674,0.44028381,0.54894316
Reverse_edge_MMHC,0.19802126,0.30368614,0.45090614,0.54478152
Add_edge_K2_bef,0.24862375,0.33009475,0.4060837,0.42987417
Remove_edge_K2_bef,0.21562524,0.3075636,0.37214422,0.39195159
Reverse_edge_K2_bef,0.22858458,0.31751359,0.42252395,0.44384966
Add_edge_K2_aft,0.2503162,0.34918685,0.41712473,0.43896647
Remove_edge_K2_aft,0.22211647,0.32190467,0.37629415,0.39449042
Reverse_edge_K2_aft,0.22913347,0.32682892,0.39182247,0.4179353
Add_edge_PC,0.20466677,0.41047745,0.62267257,0.95982655
Remove_edge_PC,0.11166405,0.21655676,0.34266435,0.4558134
Reverse_edge_PC,0.10877939,0.19316851,0.34272557,0.50256896
