Step,adwin_Acc,awe_Acc,dwm_Acc,lnse_Acc,srp_Acc
1,0.5,0.5,0.5,0.5,0.5
2,0.9954999999999998,1.0,1.0,1.0,1.0
3,0.9955,1.0,1.0,1.0,1.0
4,0.9944,1.0,1.0,1.0,1.0
5,0.9964000000000001,1.0,1.0,1.0,1.0
6,0.9965999999999999,1.0,1.0,1.0,1.0
7,0.9966999999999999,1.0,1.0,1.0,1.0
8,0.9947999999999999,1.0,1.0,1.0,1.0
9,0.9967999999999998,1.0,1.0,1.0,1.0
10,0.9959,1.0,1.0,1.0,1.0
11,0.9981000000000002,1.0,1.0,1.0,1.0
12,0.9959999999999999,1.0,1.0,1.0,1.0
13,0.9955,1.0,1.0,1.0,1.0
14,0.9957,1.0,1.0,1.0,1.0
15,0.9945999999999999,1.0,1.0,1.0,1.0
16,0.4864,0.49139999999999995,0.49139999999999995,0.49139999999999995,0.49139999999999995
17,0.9963,0.9903000000000001,0.9943000000000002,1.0,0.9952
18,0.999,0.9954000000000001,0.9987999999999999,1.0,0.9987
19,0.9946000000000002,0.9983000000000001,1.0,1.0,0.9936
20,0.9937999999999999,1.0,1.0,1.0,0.9891
21,0.9979000000000001,0.998,1.0,1.0,0.9881
22,0.9986,0.9997,1.0,1.0,0.9880000000000001
23,0.9968,0.9996,1.0,1.0,0.9838000000000001
24,0.9955000000000002,1.0,1.0,1.0,0.9928000000000001
25,0.9955999999999999,0.9998999999999999,1.0,1.0,0.9873
26,0.9970000000000001,1.0,1.0,1.0,0.9914
27,0.9967,1.0,1.0,1.0,0.9952
28,0.9969999999999999,1.0,1.0,1.0,0.9864
29,0.9992000000000001,1.0,1.0,1.0,0.9901
30,0.9968999999999999,0.9993000000000001,1.0,1.0,0.9924
