Step,Acc_MMHC,Acc_K2,Acc_PC,PC_Tests
1,0.5,0.5,0.5,760.2
2,1,1,1,0
3,1,1,1,0
4,1,1,1,0
5,1,1,1,0
6,1,1,1,0
7,1,1,1,0
8,1,1,1,0
9,1,1,1,0
10,1,1,1,0
11,1,1,1,0
12,1,1,1,0
13,1,1,1,0
14,1,1,1,0
15,1,1,1,0
16,0.6689,0.6689,0.6689,0
17,0.5795,0.5977,0.599,0
18,0.8903,0.8903,0.8903,0
19,0.9645,0.9558,0.9526,0
20,0.9816,0.9816,0.9816,0
21,0.993,0.993,0.993,0
22,0.9964,0.9964,0.9964,0
23,0.9989,0.9989,0.9989,0
24,0.9989,0.9989,0.9989,0
25,0.9996,0.9996,0.9996,0
26,0.9996,0.9996,0.9996,0
27,0.9999,0.9999,0.9999,0
28,1,1,1,0
29,0.9999,0.9999,0.9999,0
30,1,1,1,0
