Step,TP,FP,FN,TN,Precision,Recall,F1,RunTime,Tests
1,253.2,246.8,249.4,250.6,0.2532,0.5,0.336153647299535,6.46733461,0
2,257,243,247,253,0.257,0.5,0.339453019648903,0,0
3,253.9,246.1,244.9,255.1,0.2539,0.5,0.336737627054367,0,0
4,251.6,248.4,251.3,248.7,0.2516,0.5,0.334727731607355,0,0
5,249.2,250.8,248.2,251.8,0.2492,0.5,0.332565345015117,0,0
6,246.9,246.7,259.2,247.2,0.500454687042603,0.489514704795551,0.472851832839624,0,0
7,266.7,257.6,240.3,235.4,0.508190822631876,0.525739658699399,0.505906816136807,0,0
8,311.7,302.8,193.2,192.3,0.501738977999699,0.616571463867365,0.531760245875915,0,0
9,294.3,297.6,206.8,201.3,0.499304512796471,0.588682022735883,0.526445805078829,0,0
10,293.4,287.6,210.9,208.1,0.507855670353244,0.583717156448468,0.528092319815028,0,0
11,166.4,401.3,107.6,324.7,0.289585909073556,0.607739404909383,0.384602630233641,0,0
12,230.4,31.4,20.1,718.1,0.912625729466958,0.919357023220623,0.908230699883804,0,0
13,226.1,0,14.7,759.2,1,0.939122335005292,0.967876967180989,0,0
14,234.9,0.3,1.2,763.6,0.998673954464097,0.995046538511386,0.996845852592118,0,0
15,219.9,0.3,0.6,779.2,0.998637812379464,0.997341617933723,0.997984031611623,0,0
16,213,0.5,0.2,786.3,0.997732793522267,0.999019889767553,0.998368031697496,0,0
17,220.4,0.3,0.4,778.9,0.998680338266385,0.998210052157421,0.998438656203871,0,0
18,194.8,12.8,11.9,780.5,0.939392495681043,0.943193878165989,0.94127122944037,0,0
19,165.9,38,37.1,759,0.813957628168894,0.817983516972406,0.815710843210523,0,0
20,154.5,28.9,31.5,785.1,0.841928387782415,0.828149299749039,0.834519921535227,0,0
21,185,8.3,3.9,802.8,0.95759885849345,0.978618565455165,0.967689744728657,0,0
22,178.4,0.2,0.5,820.9,0.998952764755873,0.997156082843787,0.99804385972125,0,0
23,169.8,0.3,56.8,773.1,0.998192771084337,0.809710721595733,0.874685166657871,0,0
24,159.2,0.1,43.7,797,0.999393939393939,0.850430414700907,0.899999893130479,0,0
25,171,0.4,98.6,730,0.997509767086702,0.666432282671312,0.78007865122154,0,0
26,202.8,25.8,26.3,745.1,0.911314906073096,0.911943848623968,0.888270677210843,0,0
27,238.5,0.5,43.8,717.2,0.997580853815569,0.848486752720875,0.899334425173223,0,0
28,243.2,0,27.7,729.1,1,0.904272278539783,0.937340630862503,0,0
29,266.2,0.4,0.5,732.9,0.998513618953043,0.99816466072214,0.998336002451897,0,0
30,269.2,1.2,0.1,729.5,0.995741889067038,0.999662162162162,0.997686789188212,0,0
