Step,F1_MMHC,F1_K2,F1_PC,PC_Tests
1,0.470009706456799,0.470009706456799,0.544685342436099,1454
2,0.47349369162061,0.47349369162061,0.546398683848095,0
3,0.466181986101923,0.466181986101923,0.524208688389649,0
4,0.266653852979387,0.266653852979387,0.25761318100768,0
5,0.331774328154153,0.331774328154153,0.301399387480209,0
6,0.403236448812078,0.403236448812078,0.433941843002949,0
7,0.404110335057145,0.404110335057145,0.409346493599435,0
8,0.470468805604548,0.470468805604548,0.461807515804399,0
9,0.468423541414127,0.468423541414127,0.467561005210336,0
10,0.466881544578107,0.466881544578107,0.441604920048445,0
11,0.214438881679535,0.214438881679535,0.249392916794383,0
12,0,0.917134414569822,0.981275861808801,0
13,0.94780338865084,0.987377693407618,0.996982705789776,0
14,0.927501229205525,0.9832271015194,0.99507187277531,0
15,0.948024663632492,0.987738934060405,0.997511565483643,0
16,0.918507964698844,0.988957806277814,0.997430959484835,0
17,0.923635495563417,0.987339659561456,0.994929948676327,0
18,0.876616245129923,0.924449460254571,0.940172125904631,0
19,0.86199719876487,0.84557083390104,0.845876386672992,0
20,0.853651992262431,0.905958509931981,0.907937664165632,0
21,0.868001637404869,0.97366186879394,0.993523975111014,0
22,0.871633116110801,0.982713768443569,0.996156091612118,0
23,0.791890295105744,0.864160608965491,0.87538454984656,0
24,0.767200941119116,0.874116164093606,0.865633650599268,0
25,0.695124571428797,0.801577389530143,0.834230576820731,0
26,0.742937475692304,0.865281161377112,0.895541834314159,0
27,0.794712260990327,0.91001834168676,0.911059112378813,0
28,0.822290974503366,0.933957695622283,0.916479693008797,0
29,0.923170833380778,0.992439769759753,0.997730846118052,0
30,0.927841945497942,0.9929895507574,0.997958577860908,0
