Algorithm_Name,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,80.56,37.96,59.17,158.31,0.19,0.73,0.58,0.75,0.81,0.59,0.75,0.67,0.64,0.69,0.72,0.77,0.71,17.956723,250.423433,268.380156
CDDRL-Ensemble_Methods,73.42,27.21,66.31,169.06,0.14,0.76,0.52,0.74,0.86,0.56,0.78,0.67,0.62,0.69,0.72,0.79,0.72,327.904328,455.860796,783.765124
CDDRL-Ensemble_BNs,93.21,26.85,46.52,169.42,0.14,0.82,0.66,0.81,0.86,0.69,0.82,0.75,0.73,0.76,0.79,0.86,0.78,19.806611,936.212166,956.018777
KNN-ADWIN,89.98,37.09,49.75,159.19,0.19,0.77,0.64,0.77,0.81,0.65,0.78,0.72,0.7,0.73,0.74,0.8,0.74,73.49450588,125.9326694,199.4271753
AWE,85.89,32.04,53.84,164.23,0.16,0.77,0.62,0.77,0.84,0.63,0.79,0.71,0.68,0.73,0.75,0.5,0.74,66.580163,17.50283527,84.08299828
DWM,77.04,23.06,62.69,173.21,0.12,0.75,0.55,0.75,0.88,0.6,0.8,0.7,0.66,0.72,0.75,0.5,0.74,23.42250681,8.33896327,31.76147008
LNSE,97.09,43.15,42.64,153.12,0.21,0.8,0.69,0.8,0.79,0.68,0.78,0.73,0.72,0.74,0.75,0.85,0.74,61.5846796,124.7892218,186.3739014
SRP,92.64,34.3,47.09,161.98,0.17,0.79,0.66,0.79,0.83,0.67,0.8,0.73,0.72,0.74,0.76,0.83,0.76,195.9933698,76.40850782,272.4018776
SAM-KNN,79.47,28.57,60.26,167.7,0.15,0.75,0.56,0.75,0.85,0.6,0.79,0.69,0.66,0.71,0.73,0.5,0.74,27.4968276,4.960087776,32.45691538
VFDR,84.91,37.1,54.81,159.17,0.19,0.76,0.6,0.76,0.81,0.62,0.76,0.69,0.66,0.71,0.73,0.81,0.73,4.735614777,7.516740799,12.25235558
RSLVQ,94.67,82.9,45.06,113.37,0.42,0.73,0.68,0.73,0.58,0.58,0.61,0.6,0.58,0.63,0.64,0.5,0.62,31.65475965,0.993616581,32.64837623
OBC,89.67,42.27,50.06,154,0.21,0.76,0.64,0.76,0.79,0.64,0.77,0.71,0.7,0.72,0.72,0.8,0.73,761.6910512,585.0439475,1346.734999
ARF,94.43,33.36,45.3,162.91,0.17,0.8,0.67,0.8,0.83,0.68,0.8,0.74,0.72,0.75,0.77,0.85,0.77,248.1043074,30.2050705,278.3093779
NN-UN,74,23,65.73,173.27,0.11,0.75,0.53,0.75,0.89,0.58,0.8,0.69,0.65,0.71,0.74,0.81,0.74,,,
