Algorithm_Name,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,0.83,0.82,0.82,0.94,0.71,0.71,690.600393,1399.459053,2090.059446
CDDRL-Ensemble_Methods,0.85,0.84,0.84,0.95,0.75,0.76,16182.20462,5308.127621,21490.33224
CDDRL-Ensemble_BNs,0.82,0.79,0.8,0.92,0.68,0.68,948.108061,7958.629031,8906.737092
KNN-ADWIN,0.81,0.81,0.8,0.93,0.69,0.69,752.5140071,1410.306774,2162.820781
AWE,0.6,0.64,0.58,-,0.42,0.45,1023.917966,234.9768231,1258.894789
DWM,0.57,0.6,0.55,-,0.38,0.41,320.6225827,115.7270494,436.349632
LNSE,0.81,0.81,0.81,0.94,0.7,0.7,368.3244548,738.6158926,1106.940347
SRP,0.75,0.75,0.74,0.89,0.6,0.61,1715.574351,503.3517718,2218.926123
SAM-KNN,0.82,0.82,0.81,-,0.71,0.71,334.7306898,58.38084602,393.1115358
VFDR,0.6,0.61,0.56,0.78,0.38,0.4,24.85102367,57.01518798,81.86621165
RSLVQ,0.55,0.52,0.5,-,0.26,0.28,145.9847763,3.604603291,149.5893795
OBC,0.8,0.79,0.79,0.92,0.67,0.67,6061.449271,4794.769798,10856.21907
ARF,0.85,0.84,0.84,0.95,0.75,0.75,1795.044227,137.0728126,1932.117039
NN-UN,0.78,0.74,0.72,0.9,0.58,0.59,,,
