C_nodes_ 1,C_nodes_ 2,C_nodes_ 3,C_nodes_ 4,C_nodes_ 5,C_nodes_ 6,C_nodes_ 7,C_nodes_ 8,C_nodes_ 9,C_nodes_10,C_nodes_11,C_nodes_12,C_nodes_13,C_nodes_14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,2,4,6,17,,,,,,,,,
1,2,3,4,12,14,17,18,,,,,,
1,2,3,4,6,7,11,12,13,14,17,18,,
1,2,4,5,7,9,10,11,12,13,14,17,18,
1,2,4,5,6,7,11,12,13,14,17,,,
1,2,4,5,7,9,11,12,13,14,17,,,
1,2,4,5,6,7,9,11,12,13,14,17,18,
1,2,4,5,7,9,11,12,13,14,16,17,18,
1,2,4,5,6,7,11,12,13,14,16,17,18,
1,2,4,5,6,7,9,11,12,13,14,16,17,18
1,2,4,5,7,9,11,12,13,14,16,17,18,
1,2,4,5,6,7,9,11,12,13,14,16,17,
1,2,4,5,7,9,11,12,13,14,16,17,18,
1,2,4,5,6,7,9,11,12,13,14,16,17,
1,2,4,5,6,7,9,11,12,13,14,16,17,18
1,2,5,7,11,13,14,16,18,,,,,
1,2,4,5,7,11,13,14,16,17,18,,,
1,2,5,7,9,11,12,13,14,16,17,18,,
1,2,5,7,11,13,14,16,17,18,,,,
1,2,5,7,9,11,13,14,16,17,18,,,
1,2,5,7,11,13,14,16,17,18,,,,
1,2,5,7,9,11,13,14,16,17,18,,,
1,2,5,7,9,11,13,14,16,17,18,,,
1,2,5,7,9,11,13,14,16,17,18,,,
1,2,5,7,9,11,13,14,16,17,18,,,
1,2,4,5,7,9,11,12,13,14,16,17,18,
1,2,5,7,11,13,14,16,17,18,,,,
1,2,5,7,11,13,14,16,17,18,,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,6,7,11,13,14,16,17,18,,,,
1,2,6,7,11,13,14,16,17,18,,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,6,7,11,13,14,16,17,18,,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,6,7,11,13,14,16,17,18,,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,9,11,13,14,16,17,18,,
1,2,6,7,11,13,14,16,17,18,,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,11,13,14,16,17,18,,,
1,2,5,6,7,11,13,14,16,17,18,,,
