Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews
1.0,0.17,0.41,0.24,0.5,0.0,0.0
2.0,0.18,0.42,0.25,0.5,0.0,0.0
3.0,0.82,0.82,0.82,0.95,0.72,0.72
4.0,0.8,0.79,0.78,0.92,0.67,0.67
5.0,0.79,0.79,0.79,0.94,0.67,0.68
6.0,0.83,0.82,0.82,0.95,0.72,0.72
7.0,0.85,0.85,0.85,0.96,0.77,0.77
8.0,0.82,0.83,0.82,0.95,0.73,0.73
9.0,0.84,0.84,0.84,0.95,0.75,0.75
10.0,0.83,0.83,0.83,0.94,0.74,0.74
11.0,0.83,0.83,0.82,0.95,0.73,0.73
12.0,0.81,0.81,0.81,0.94,0.7,0.7
13.0,0.79,0.79,0.78,0.92,0.67,0.67
14.0,0.78,0.78,0.78,0.94,0.67,0.67
15.0,0.79,0.79,0.79,0.93,0.69,0.69
16.0,0.82,0.82,0.82,0.95,0.73,0.73
17.0,0.82,0.82,0.82,0.94,0.73,0.73
18.0,0.76,0.77,0.76,0.92,0.65,0.65
19.0,0.82,0.82,0.82,0.94,0.72,0.72
20.0,0.82,0.82,0.82,0.95,0.72,0.72
21.0,0.8,0.8,0.8,0.93,0.69,0.69
22.0,0.83,0.83,0.83,0.95,0.73,0.74
23.0,0.82,0.82,0.81,0.94,0.71,0.71
24.0,0.79,0.8,0.79,0.94,0.68,0.68
25.0,0.81,0.81,0.8,0.93,0.7,0.7
26.0,0.81,0.81,0.8,0.93,0.7,0.7
27.0,0.81,0.81,0.81,0.94,0.71,0.71
28.0,0.79,0.79,0.78,0.94,0.67,0.67
29.0,0.79,0.79,0.79,0.93,0.68,0.68
30.0,0.77,0.77,0.77,0.9,0.66,0.66
31.0,0.66,0.65,0.65,0.81,0.47,0.47
32.0,0.83,0.83,0.82,0.95,0.74,0.74
33.0,0.79,0.8,0.79,0.93,0.69,0.69
34.0,0.79,0.78,0.78,0.91,0.65,0.65
35.0,0.79,0.78,0.78,0.92,0.66,0.66
36.0,0.82,0.81,0.81,0.94,0.71,0.72
37.0,0.82,0.81,0.81,0.94,0.7,0.71
38.0,0.77,0.78,0.77,0.91,0.66,0.66
39.0,0.79,0.79,0.79,0.91,0.68,0.68
40.0,0.82,0.82,0.82,0.94,0.72,0.73
41.0,0.78,0.78,0.78,0.92,0.66,0.66
42.0,0.79,0.79,0.79,0.93,0.68,0.68
43.0,0.8,0.8,0.8,0.93,0.68,0.68
44.0,0.76,0.76,0.75,0.9,0.63,0.63
45.0,0.77,0.77,0.77,0.91,0.65,0.65
46.0,0.8,0.8,0.8,0.93,0.69,0.7
47.0,0.81,0.81,0.8,0.94,0.7,0.7
48.0,0.76,0.76,0.76,0.92,0.64,0.64
49.0,0.69,0.65,0.65,0.82,0.48,0.49
50.0,0.85,0.61,0.69,0.87,0.29,0.33
51.0,0.91,0.92,0.91,0.95,0.78,0.78
52.0,0.87,0.88,0.87,0.94,0.72,0.73
53.0,0.86,0.87,0.86,0.94,0.74,0.74
54.0,0.86,0.86,0.85,0.95,0.74,0.74
55.0,0.87,0.87,0.87,0.96,0.77,0.77
56.0,0.84,0.84,0.84,0.94,0.72,0.72
57.0,0.83,0.83,0.82,0.94,0.71,0.72
58.0,0.84,0.83,0.83,0.95,0.73,0.73
59.0,0.82,0.82,0.82,0.94,0.71,0.71
60.0,0.85,0.85,0.85,0.95,0.75,0.75
61.0,0.85,0.85,0.85,0.96,0.75,0.75
62.0,0.84,0.84,0.84,0.96,0.73,0.74
63.0,0.84,0.84,0.84,0.95,0.74,0.74
64.0,0.83,0.83,0.83,0.95,0.72,0.72
65.0,0.81,0.8,0.8,0.93,0.69,0.69
66.0,0.82,0.82,0.82,0.95,0.71,0.72
67.0,0.84,0.84,0.84,0.94,0.75,0.76
68.0,0.82,0.81,0.81,0.94,0.71,0.71
69.0,0.74,0.75,0.74,0.88,0.6,0.61
70.0,0.83,0.83,0.83,0.95,0.74,0.74
